path,actor_id,sentence,emotion,level,split
data\processed\1026_DFA_DIS_XX.npy,1026,DFA,DIS,XX,dev
data\processed\1017_DFA_ANG_XX.npy,1017,DFA,ANG,XX,dev
data\processed\1018_DFA_HAP_XX.npy,1018,DFA,HAP,XX,dev
data\processed\1041_DFA_FEA_XX.npy,1041,DFA,FEA,XX,dev
data\processed\1014_DFA_DIS_XX.npy,1014,DFA,DIS,XX,dev
data\processed\1035_DFA_SAD_XX.npy,1035,DFA,SAD,XX,dev
data\processed\1024_DFA_NEU_XX.npy,1024,DFA,NEU,XX,dev
data\processed\1034_DFA_DIS_XX.npy,1034,DFA,DIS,XX,dev
data\processed\1006_DFA_SAD_XX.npy,1006,DFA,SAD,XX,dev
data\processed\1027_DFA_NEU_XX.npy,1027,DFA,NEU,XX,dev
data\processed\1037_DFA_ANG_XX.npy,1037,DFA,ANG,XX,dev
data\processed\1008_DFA_ANG_XX.npy,1008,DFA,ANG,XX,dev
data\processed\1002_DFA_NEU_XX.npy,1002,DFA,NEU,XX,dev
data\processed\1010_DFA_NEU_XX.npy,1010,DFA,NEU,XX,dev
data\processed\1015_DFA_HAP_XX.npy,1015,DFA,HAP,XX,dev
data\processed\1047_DFA_HAP_XX.npy,1047,DFA,HAP,XX,dev
data\processed\1004_DFA_DIS_XX.npy,1004,DFA,DIS,XX,dev
data\processed\1029_DFA_NEU_XX.npy,1029,DFA,NEU,XX,dev
data\processed\1023_DFA_HAP_XX.npy,1023,DFA,HAP,XX,dev
data\processed\1030_DFA_DIS_XX.npy,1030,DFA,DIS,XX,dev
data\processed\1007_DFA_HAP_XX.npy,1007,DFA,HAP,XX,dev
data\processed\1011_DFA_SAD_XX.npy,1011,DFA,SAD,XX,dev
data\processed\1018_DFA_DIS_XX.npy,1018,DFA,DIS,XX,dev
data\processed\1042_DFA_NEU_XX.npy,1042,DFA,NEU,XX,dev
data\processed\1045_DFA_DIS_XX.npy,1045,DFA,DIS,XX,dev
data\processed\1001_DFA_DIS_XX.npy,1001,DFA,DIS,XX,dev
data\processed\1034_DFA_ANG_XX.npy,1034,DFA,ANG,XX,dev
data\processed\1048_DFA_NEU_XX.npy,1048,DFA,NEU,XX,dev
data\processed\1028_DFA_NEU_XX.npy,1028,DFA,NEU,XX,dev
data\processed\1019_DFA_NEU_XX.npy,1019,DFA,NEU,XX,dev
data\processed\1042_DFA_DIS_XX.npy,1042,DFA,DIS,XX,dev
data\processed\1006_DFA_FEA_XX.npy,1006,DFA,FEA,XX,dev
data\processed\1012_DFA_DIS_XX.npy,1012,DFA,DIS,XX,dev
data\processed\1032_DFA_HAP_XX.npy,1032,DFA,HAP,XX,dev
data\processed\1027_DFA_DIS_XX.npy,1027,DFA,DIS,XX,dev
data\processed\1033_DFA_ANG_XX.npy,1033,DFA,ANG,XX,dev
data\processed\1039_DFA_FEA_XX.npy,1039,DFA,FEA,XX,dev
data\processed\1020_DFA_FEA_XX.npy,1020,DFA,FEA,XX,dev
data\processed\1036_DFA_FEA_XX.npy,1036,DFA,FEA,XX,dev
data\processed\1005_DFA_FEA_XX.npy,1005,DFA,FEA,XX,dev
data\processed\1015_DFA_FEA_XX.npy,1015,DFA,FEA,XX,dev
data\processed\1019_DFA_FEA_XX.npy,1019,DFA,FEA,XX,dev
data\processed\1029_DFA_HAP_XX.npy,1029,DFA,HAP,XX,dev
data\processed\1013_DFA_ANG_XX.npy,1013,DFA,ANG,XX,dev
data\processed\1048_DFA_FEA_XX.npy,1048,DFA,FEA,XX,dev
data\processed\1016_DFA_HAP_XX.npy,1016,DFA,HAP,XX,dev
data\processed\1008_DFA_HAP_XX.npy,1008,DFA,HAP,XX,dev
data\processed\1039_DFA_SAD_XX.npy,1039,DFA,SAD,XX,dev
data\processed\1022_DFA_DIS_XX.npy,1022,DFA,DIS,XX,dev
data\processed\1046_DFA_HAP_XX.npy,1046,DFA,HAP,XX,dev
data\processed\1015_DFA_SAD_XX.npy,1015,DFA,SAD,XX,dev
data\processed\1003_DFA_ANG_XX.npy,1003,DFA,ANG,XX,dev
data\processed\1013_DFA_NEU_XX.npy,1013,DFA,NEU,XX,dev
data\processed\1022_DFA_HAP_XX.npy,1022,DFA,HAP,XX,dev
data\processed\1010_DFA_SAD_XX.npy,1010,DFA,SAD,XX,dev
data\processed\1011_DFA_NEU_XX.npy,1011,DFA,NEU,XX,dev
data\processed\1044_DFA_FEA_XX.npy,1044,DFA,FEA,XX,dev
data\processed\1037_DFA_HAP_XX.npy,1037,DFA,HAP,XX,dev
data\processed\1031_DFA_FEA_XX.npy,1031,DFA,FEA,XX,dev
data\processed\1008_DFA_FEA_XX.npy,1008,DFA,FEA,XX,dev
data\processed\1033_DFA_FEA_XX.npy,1033,DFA,FEA,XX,dev
data\processed\1014_DFA_NEU_XX.npy,1014,DFA,NEU,XX,dev
data\processed\1023_DFA_SAD_XX.npy,1023,DFA,SAD,XX,dev
data\processed\1005_DFA_NEU_XX.npy,1005,DFA,NEU,XX,dev
data\processed\1036_DFA_HAP_XX.npy,1036,DFA,HAP,XX,dev
data\processed\1033_DFA_HAP_XX.npy,1033,DFA,HAP,XX,dev
data\processed\1018_DFA_NEU_XX.npy,1018,DFA,NEU,XX,dev
data\processed\1036_DFA_NEU_XX.npy,1036,DFA,NEU,XX,dev
data\processed\1019_DFA_ANG_XX.npy,1019,DFA,ANG,XX,dev
data\processed\1036_DFA_ANG_XX.npy,1036,DFA,ANG,XX,dev
data\processed\1026_DFA_HAP_XX.npy,1026,DFA,HAP,XX,dev
data\processed\1009_DFA_SAD_XX.npy,1009,DFA,SAD,XX,dev
data\processed\1021_DFA_FEA_XX.npy,1021,DFA,FEA,XX,dev
data\processed\1047_DFA_NEU_XX.npy,1047,DFA,NEU,XX,dev
data\processed\1046_DFA_ANG_XX.npy,1046,DFA,ANG,XX,dev
data\processed\1009_DFA_DIS_XX.npy,1009,DFA,DIS,XX,dev
data\processed\1001_DFA_SAD_XX.npy,1001,DFA,SAD,XX,dev
data\processed\1033_DFA_NEU_XX.npy,1033,DFA,NEU,XX,dev
data\processed\1027_DFA_HAP_XX.npy,1027,DFA,HAP,XX,dev
data\processed\1016_DFA_NEU_XX.npy,1016,DFA,NEU,XX,dev
data\processed\1049_DFA_NEU_XX.npy,1049,DFA,NEU,XX,dev
data\processed\1032_DFA_FEA_XX.npy,1032,DFA,FEA,XX,dev
data\processed\1006_DFA_ANG_XX.npy,1006,DFA,ANG,XX,dev
data\processed\1028_DFA_DIS_XX.npy,1028,DFA,DIS,XX,dev
data\processed\1038_DFA_SAD_XX.npy,1038,DFA,SAD,XX,dev
data\processed\1002_DFA_ANG_XX.npy,1002,DFA,ANG,XX,dev
data\processed\1004_DFA_ANG_XX.npy,1004,DFA,ANG,XX,dev
data\processed\1025_DFA_FEA_XX.npy,1025,DFA,FEA,XX,train
data\processed\1002_DFA_SAD_XX.npy,1002,DFA,SAD,XX,train
data\processed\1046_DFA_NEU_XX.npy,1046,DFA,NEU,XX,train
data\processed\1047_DFA_ANG_XX.npy,1047,DFA,ANG,XX,train
data\processed\1005_DFA_DIS_XX.npy,1005,DFA,DIS,XX,train
data\processed\1003_DFA_HAP_XX.npy,1003,DFA,HAP,XX,train
data\processed\1019_DFA_DIS_XX.npy,1019,DFA,DIS,XX,train
data\processed\1045_DFA_NEU_XX.npy,1045,DFA,NEU,XX,train
data\processed\1008_DFA_DIS_XX.npy,1008,DFA,DIS,XX,train
data\processed\1016_DFA_SAD_XX.npy,1016,DFA,SAD,XX,train
data\processed\1041_DFA_SAD_XX.npy,1041,DFA,SAD,XX,train
data\processed\1034_DFA_NEU_XX.npy,1034,DFA,NEU,XX,train
data\processed\1012_DFA_HAP_XX.npy,1012,DFA,HAP,XX,train
data\processed\1001_DFA_NEU_XX.npy,1001,DFA,NEU,XX,train
data\processed\1043_DFA_FEA_XX.npy,1043,DFA,FEA,XX,train
data\processed\1035_DFA_FEA_XX.npy,1035,DFA,FEA,XX,train
data\processed\1038_DFA_HAP_XX.npy,1038,DFA,HAP,XX,train
data\processed\1045_DFA_FEA_XX.npy,1045,DFA,FEA,XX,train
data\processed\1032_DFA_DIS_XX.npy,1032,DFA,DIS,XX,train
data\processed\1021_DFA_NEU_XX.npy,1021,DFA,NEU,XX,train
data\processed\1005_DFA_SAD_XX.npy,1005,DFA,SAD,XX,train
data\processed\1034_DFA_SAD_XX.npy,1034,DFA,SAD,XX,train
data\processed\1043_DFA_NEU_XX.npy,1043,DFA,NEU,XX,train
data\processed\1004_DFA_HAP_XX.npy,1004,DFA,HAP,XX,train
data\processed\1016_DFA_DIS_XX.npy,1016,DFA,DIS,XX,train
data\processed\1028_DFA_FEA_XX.npy,1028,DFA,FEA,XX,train
data\processed\1046_DFA_DIS_XX.npy,1046,DFA,DIS,XX,train
data\processed\1022_DFA_ANG_XX.npy,1022,DFA,ANG,XX,train
data\processed\1020_DFA_DIS_XX.npy,1020,DFA,DIS,XX,train
data\processed\1031_DFA_SAD_XX.npy,1031,DFA,SAD,XX,train
data\processed\1025_DFA_NEU_XX.npy,1025,DFA,NEU,XX,train
data\processed\1018_DFA_SAD_XX.npy,1018,DFA,SAD,XX,train
data\processed\1037_DFA_FEA_XX.npy,1037,DFA,FEA,XX,train
data\processed\1049_DFA_SAD_XX.npy,1049,DFA,SAD,XX,train
data\processed\1010_DFA_DIS_XX.npy,1010,DFA,DIS,XX,train
data\processed\1011_DFA_ANG_XX.npy,1011,DFA,ANG,XX,train
data\processed\1044_DFA_NEU_XX.npy,1044,DFA,NEU,XX,train
data\processed\1012_DFA_NEU_XX.npy,1012,DFA,NEU,XX,train
data\processed\1023_DFA_FEA_XX.npy,1023,DFA,FEA,XX,train
data\processed\1039_DFA_ANG_XX.npy,1039,DFA,ANG,XX,train
data\processed\1017_DFA_NEU_XX.npy,1017,DFA,NEU,XX,train
data\processed\1030_DFA_ANG_XX.npy,1030,DFA,ANG,XX,train
data\processed\1038_DFA_DIS_XX.npy,1038,DFA,DIS,XX,train
data\processed\1030_DFA_SAD_XX.npy,1030,DFA,SAD,XX,train
data\processed\1040_DFA_HAP_XX.npy,1040,DFA,HAP,XX,train
data\processed\1002_DFA_HAP_XX.npy,1002,DFA,HAP,XX,train
data\processed\1007_DFA_FEA_XX.npy,1007,DFA,FEA,XX,train
data\processed\1006_DFA_HAP_XX.npy,1006,DFA,HAP,XX,train
data\processed\1033_DFA_DIS_XX.npy,1033,DFA,DIS,XX,train
data\processed\1029_DFA_SAD_XX.npy,1029,DFA,SAD,XX,train
data\processed\1004_DFA_NEU_XX.npy,1004,DFA,NEU,XX,train
data\processed\1003_DFA_SAD_XX.npy,1003,DFA,SAD,XX,train
data\processed\1021_DFA_DIS_XX.npy,1021,DFA,DIS,XX,train
data\processed\1012_DFA_ANG_XX.npy,1012,DFA,ANG,XX,train
data\processed\1029_DFA_ANG_XX.npy,1029,DFA,ANG,XX,train
data\processed\1027_DFA_ANG_XX.npy,1027,DFA,ANG,XX,train
data\processed\1002_DFA_FEA_XX.npy,1002,DFA,FEA,XX,train
data\processed\1048_DFA_SAD_XX.npy,1048,DFA,SAD,XX,train
data\processed\1049_DFA_ANG_XX.npy,1049,DFA,ANG,XX,train
data\processed\1044_DFA_DIS_XX.npy,1044,DFA,DIS,XX,train
data\processed\1039_DFA_DIS_XX.npy,1039,DFA,DIS,XX,train
data\processed\1045_DFA_ANG_XX.npy,1045,DFA,ANG,XX,train
data\processed\1025_DFA_HAP_XX.npy,1025,DFA,HAP,XX,train
data\processed\1040_DFA_FEA_XX.npy,1040,DFA,FEA,XX,train
data\processed\1017_DFA_FEA_XX.npy,1017,DFA,FEA,XX,train
data\processed\1037_DFA_SAD_XX.npy,1037,DFA,SAD,XX,train
data\processed\1026_DFA_FEA_XX.npy,1026,DFA,FEA,XX,train
data\processed\1040_DFA_NEU_XX.npy,1040,DFA,NEU,XX,train
data\processed\1019_DFA_SAD_XX.npy,1019,DFA,SAD,XX,train
data\processed\1013_DFA_DIS_XX.npy,1013,DFA,DIS,XX,train
data\processed\1026_DFA_ANG_XX.npy,1026,DFA,ANG,XX,train
data\processed\1044_DFA_SAD_XX.npy,1044,DFA,SAD,XX,train
data\processed\1026_DFA_NEU_XX.npy,1026,DFA,NEU,XX,train
data\processed\1048_DFA_ANG_XX.npy,1048,DFA,ANG,XX,train
data\processed\1009_DFA_NEU_XX.npy,1009,DFA,NEU,XX,train
data\processed\1024_DFA_ANG_XX.npy,1024,DFA,ANG,XX,train
data\processed\1035_DFA_NEU_XX.npy,1035,DFA,NEU,XX,train
data\processed\1015_DFA_DIS_XX.npy,1015,DFA,DIS,XX,train
data\processed\1024_DFA_FEA_XX.npy,1024,DFA,FEA,XX,train
data\processed\1049_DFA_DIS_XX.npy,1049,DFA,DIS,XX,train
data\processed\1042_DFA_SAD_XX.npy,1042,DFA,SAD,XX,train
data\processed\1013_DFA_FEA_XX.npy,1013,DFA,FEA,XX,train
data\processed\1024_DFA_HAP_XX.npy,1024,DFA,HAP,XX,train
data\processed\1013_DFA_SAD_XX.npy,1013,DFA,SAD,XX,train
data\processed\1005_DFA_HAP_XX.npy,1005,DFA,HAP,XX,train
data\processed\1021_DFA_SAD_XX.npy,1021,DFA,SAD,XX,train
data\processed\1022_DFA_NEU_XX.npy,1022,DFA,NEU,XX,train
data\processed\1038_DFA_FEA_XX.npy,1038,DFA,FEA,XX,train
data\processed\1014_DFA_HAP_XX.npy,1014,DFA,HAP,XX,train
data\processed\1049_DFA_HAP_XX.npy,1049,DFA,HAP,XX,train
data\processed\1004_DFA_SAD_XX.npy,1004,DFA,SAD,XX,train
data\processed\1020_DFA_ANG_XX.npy,1020,DFA,ANG,XX,train
data\processed\1024_DFA_DIS_XX.npy,1024,DFA,DIS,XX,train
data\processed\1041_DFA_HAP_XX.npy,1041,DFA,HAP,XX,train
data\processed\1007_DFA_ANG_XX.npy,1007,DFA,ANG,XX,train
data\processed\1035_DFA_DIS_XX.npy,1035,DFA,DIS,XX,train
data\processed\1011_DFA_DIS_XX.npy,1011,DFA,DIS,XX,train
data\processed\1010_DFA_FEA_XX.npy,1010,DFA,FEA,XX,train
data\processed\1025_DFA_DIS_XX.npy,1025,DFA,DIS,XX,train
data\processed\1040_DFA_ANG_XX.npy,1040,DFA,ANG,XX,train
data\processed\1047_DFA_FEA_XX.npy,1047,DFA,FEA,XX,train
data\processed\1003_DFA_NEU_XX.npy,1003,DFA,NEU,XX,train
data\processed\1045_DFA_HAP_XX.npy,1045,DFA,HAP,XX,train
data\processed\1031_DFA_ANG_XX.npy,1031,DFA,ANG,XX,train
data\processed\1014_DFA_SAD_XX.npy,1014,DFA,SAD,XX,train
data\processed\1032_DFA_ANG_XX.npy,1032,DFA,ANG,XX,train
data\processed\1011_DFA_FEA_XX.npy,1011,DFA,FEA,XX,train
data\processed\1029_DFA_FEA_XX.npy,1029,DFA,FEA,XX,train
data\processed\1043_DFA_ANG_XX.npy,1043,DFA,ANG,XX,train
data\processed\1001_DFA_ANG_XX.npy,1001,DFA,ANG,XX,train
data\processed\1035_DFA_ANG_XX.npy,1035,DFA,ANG,XX,train
data\processed\1008_DFA_SAD_XX.npy,1008,DFA,SAD,XX,train
data\processed\1002_DFA_DIS_XX.npy,1002,DFA,DIS,XX,train
data\processed\1006_DFA_DIS_XX.npy,1006,DFA,DIS,XX,train
data\processed\1023_DFA_DIS_XX.npy,1023,DFA,DIS,XX,train
data\processed\1038_DFA_NEU_XX.npy,1038,DFA,NEU,XX,train
data\processed\1048_DFA_HAP_XX.npy,1048,DFA,HAP,XX,train
data\processed\1018_DFA_FEA_XX.npy,1018,DFA,FEA,XX,train
data\processed\1027_DFA_SAD_XX.npy,1027,DFA,SAD,XX,train
data\processed\1038_DFA_ANG_XX.npy,1038,DFA,ANG,XX,train
data\processed\1031_DFA_DIS_XX.npy,1031,DFA,DIS,XX,train
data\processed\1009_DFA_HAP_XX.npy,1009,DFA,HAP,XX,train
data\processed\1041_DFA_DIS_XX.npy,1041,DFA,DIS,XX,train
data\processed\1029_DFA_DIS_XX.npy,1029,DFA,DIS,XX,train
data\processed\1007_DFA_DIS_XX.npy,1007,DFA,DIS,XX,train
data\processed\1009_DFA_FEA_XX.npy,1009,DFA,FEA,XX,train
data\processed\1027_DFA_FEA_XX.npy,1027,DFA,FEA,XX,train
data\processed\1013_DFA_HAP_XX.npy,1013,DFA,HAP,XX,train
data\processed\1046_DFA_FEA_XX.npy,1046,DFA,FEA,XX,train
data\processed\1022_DFA_FEA_XX.npy,1022,DFA,FEA,XX,train
data\processed\1009_DFA_ANG_XX.npy,1009,DFA,ANG,XX,train
data\processed\1047_DFA_SAD_XX.npy,1047,DFA,SAD,XX,train
data\processed\1025_DFA_ANG_XX.npy,1025,DFA,ANG,XX,train
data\processed\1012_DFA_SAD_XX.npy,1012,DFA,SAD,XX,train
data\processed\1044_DFA_ANG_XX.npy,1044,DFA,ANG,XX,train
data\processed\1019_DFA_HAP_XX.npy,1019,DFA,HAP,XX,train
data\processed\1031_DFA_HAP_XX.npy,1031,DFA,HAP,XX,train
data\processed\1041_DFA_NEU_XX.npy,1041,DFA,NEU,XX,train
data\processed\1026_DFA_SAD_XX.npy,1026,DFA,SAD,XX,train
data\processed\1035_DFA_HAP_XX.npy,1035,DFA,HAP,XX,train
data\processed\1042_DFA_FEA_XX.npy,1042,DFA,FEA,XX,train
data\processed\1044_DFA_HAP_XX.npy,1044,DFA,HAP,XX,train
data\processed\1023_DFA_ANG_XX.npy,1023,DFA,ANG,XX,train
data\processed\1004_DFA_FEA_XX.npy,1004,DFA,FEA,XX,train
data\processed\1036_DFA_SAD_XX.npy,1036,DFA,SAD,XX,train
data\processed\1033_DFA_SAD_XX.npy,1033,DFA,SAD,XX,train
data\processed\1037_IEO_FEA_HI.npy,1037,IEO,FEA,HI,test
data\processed\1044_IEO_FEA_HI.npy,1044,IEO,FEA,HI,dev
data\processed\1034_IEO_FEA_HI.npy,1034,IEO,FEA,HI,dev
data\processed\1036_IEO_SAD_HI.npy,1036,IEO,SAD,HI,dev
data\processed\1020_IEO_NEU_XX.npy,1020,IEO,NEU,XX,dev
data\processed\1039_IEO_DIS_MD.npy,1039,IEO,DIS,MD,dev
data\processed\1033_IEO_FEA_MD.npy,1033,IEO,FEA,MD,dev
data\processed\1016_IEO_HAP_HI.npy,1016,IEO,HAP,HI,dev
data\processed\1037_IEO_DIS_HI.npy,1037,IEO,DIS,HI,dev
data\processed\1045_IEO_FEA_MD.npy,1045,IEO,FEA,MD,dev
data\processed\1037_IEO_HAP_LO.npy,1037,IEO,HAP,LO,dev
data\processed\1016_IEO_SAD_HI.npy,1016,IEO,SAD,HI,dev
data\processed\1008_IEO_DIS_LO.npy,1008,IEO,DIS,LO,dev
data\processed\1023_IEO_HAP_MD.npy,1023,IEO,HAP,MD,dev
data\processed\1030_IEO_HAP_MD.npy,1030,IEO,HAP,MD,dev
data\processed\1008_IEO_HAP_MD.npy,1008,IEO,HAP,MD,dev
data\processed\1038_IEO_HAP_MD.npy,1038,IEO,HAP,MD,dev
data\processed\1047_IEO_ANG_MD.npy,1047,IEO,ANG,MD,dev
data\processed\1013_IEO_SAD_HI.npy,1013,IEO,SAD,HI,dev
data\processed\1021_IEO_FEA_LO.npy,1021,IEO,FEA,LO,dev
data\processed\1018_IEO_ANG_HI.npy,1018,IEO,ANG,HI,dev
data\processed\1005_IEO_DIS_LO.npy,1005,IEO,DIS,LO,dev
data\processed\1005_IEO_SAD_HI.npy,1005,IEO,SAD,HI,dev
data\processed\1016_IEO_ANG_HI.npy,1016,IEO,ANG,HI,dev
data\processed\1016_IEO_DIS_HI.npy,1016,IEO,DIS,HI,dev
data\processed\1019_IEO_FEA_LO.npy,1019,IEO,FEA,LO,dev
data\processed\1007_IEO_NEU_XX.npy,1007,IEO,NEU,XX,dev
data\processed\1038_IEO_SAD_HI.npy,1038,IEO,SAD,HI,dev
data\processed\1031_IEO_SAD_MD.npy,1031,IEO,SAD,MD,dev
data\processed\1020_IEO_SAD_MD.npy,1020,IEO,SAD,MD,dev
data\processed\1030_IEO_ANG_HI.npy,1030,IEO,ANG,HI,dev
data\processed\1006_IEO_FEA_MD.npy,1006,IEO,FEA,MD,dev
data\processed\1002_IEO_FEA_MD.npy,1002,IEO,FEA,MD,dev
data\processed\1030_IEO_SAD_MD.npy,1030,IEO,SAD,MD,dev
data\processed\1031_IEO_ANG_HI.npy,1031,IEO,ANG,HI,dev
data\processed\1026_IEO_FEA_MD.npy,1026,IEO,FEA,MD,dev
data\processed\1009_IEO_SAD_LO.npy,1009,IEO,SAD,LO,dev
data\processed\1045_IEO_ANG_HI.npy,1045,IEO,ANG,HI,dev
data\processed\1018_IEO_HAP_LO.npy,1018,IEO,HAP,LO,dev
data\processed\1020_IEO_HAP_HI.npy,1020,IEO,HAP,HI,dev
data\processed\1011_IEO_SAD_HI.npy,1011,IEO,SAD,HI,dev
data\processed\1009_IEO_HAP_HI.npy,1009,IEO,HAP,HI,dev
data\processed\1046_IEO_DIS_HI.npy,1046,IEO,DIS,HI,dev
data\processed\1037_IEO_SAD_HI.npy,1037,IEO,SAD,HI,dev
data\processed\1012_IEO_DIS_HI.npy,1012,IEO,DIS,HI,dev
data\processed\1015_IEO_HAP_MD.npy,1015,IEO,HAP,MD,dev
data\processed\1027_IEO_FEA_HI.npy,1027,IEO,FEA,HI,dev
data\processed\1002_IEO_ANG_HI.npy,1002,IEO,ANG,HI,dev
data\processed\1027_IEO_SAD_HI.npy,1027,IEO,SAD,HI,dev
data\processed\1004_IEO_HAP_MD.npy,1004,IEO,HAP,MD,dev
data\processed\1024_IEO_DIS_HI.npy,1024,IEO,DIS,HI,dev
data\processed\1004_IEO_DIS_HI.npy,1004,IEO,DIS,HI,dev
data\processed\1024_IEO_HAP_LO.npy,1024,IEO,HAP,LO,dev
data\processed\1043_IEO_FEA_HI.npy,1043,IEO,FEA,HI,dev
data\processed\1029_IEO_FEA_MD.npy,1029,IEO,FEA,MD,dev
data\processed\1031_IEO_FEA_HI.npy,1031,IEO,FEA,HI,dev
data\processed\1032_IEO_FEA_MD.npy,1032,IEO,FEA,MD,dev
data\processed\1047_IEO_HAP_MD.npy,1047,IEO,HAP,MD,dev
data\processed\1024_IEO_DIS_LO.npy,1024,IEO,DIS,LO,dev
data\processed\1024_IEO_HAP_MD.npy,1024,IEO,HAP,MD,dev
data\processed\1020_IEO_FEA_LO.npy,1020,IEO,FEA,LO,dev
data\processed\1040_IEO_HAP_HI.npy,1040,IEO,HAP,HI,dev
data\processed\1006_IEO_ANG_MD.npy,1006,IEO,ANG,MD,dev
data\processed\1013_IEO_ANG_MD.npy,1013,IEO,ANG,MD,dev
data\processed\1016_IEO_FEA_HI.npy,1016,IEO,FEA,HI,dev
data\processed\1029_IEO_HAP_LO.npy,1029,IEO,HAP,LO,dev
data\processed\1004_IEO_FEA_HI.npy,1004,IEO,FEA,HI,dev
